<URL>	<Filename>
https://www.moh.gov.sg/content/dam/moh_web/HPP/Doctors/cpg_medical/current/2014/adhd/ADHD%20CPG_Summary%20card.pdf	ADHD CPG_Summary card
https://www.moh.gov.sg/content/dam/moh_web/HPP/Doctors/cpg_medical/current/2014/adhd/ADHD%20CPG_Booklet.pdf	ADHD CPG_Booklet
https://www.moh.gov.sg/content/dam/moh_web/HPP/Doctors/cpg_medical/current/2015/anxiety_disorders/cpg_Anxiety%20Disorders%20Apr%202015%20-%20Summary%20Card.pdf	
cpg_Anxiety Disorders Apr 2015 - Summary Card
https://www.moh.gov.sg/content/dam/moh_web/HPP/Doctors/cpg_medical/current/2015/anxiety_disorders/cpg_Anxiety%20Disorders%20%20Apr%202015%20-%20Full%20Guidelines.pdf	cpg_Anxiety Disorders  Apr 2015 - Full Guidelines
https://www.moh.gov.sg/content/dam/moh_web/HPP/Doctors/cpg_medical/current/2011/cpg-Chronic%20Hep%20B%20Infection%20-%20Mar%202011.pdf	cpg-Chronic Hep B Infection Card - Mar 2011
https://www.moh.gov.sg/content/dam/moh_web/HPP/Nurses/cpg_nursing/2005/prevention_of_falls_in_hosp_ltc_institutiions.pdf	CPG_falls_prevention
https://www.primarycarepages.sg/uploadedFiles/Chronic_Disease_Information/HPB-MOH%20Clinical%20Practice%20Guidelines-Treating%20Tobacco%20Use%20and%20Dependence-2013.pdf	CPG_Treating_Tobacco_Use_and_Dependence_Main
http://bcnpb-excellent.com/attachments/article/186/CPG_Treating_Tobacco_Use_and_Dependence_Summary.pdf	CPG_Treating_Tobacco_Use_and_Dependence_S
https://www.moh.gov.sg/content/dam/moh_web/HPP/Doctors/cpg_medical/current/2016/tuberculosis/MOH%20TB%20CPG%20Executive%20summary%20for%20website.pdfummary
https://www.moh.gov.sg/content/dam/moh_web/HPP/Doctors/cpg_medical/current/2013/Dementia/Dementia%2010%20Jul%202013%20-%20Summary%20Card.pdf	Dementia 10 Jul 2013 - Summary Card
https://www.moh.gov.sg/content/dam/moh_web/HPP/Dentists/cpg_dental/current/2012/dental_implants_edentulism/Dental%20Implant%20CPG%20Booklet%20(Revised%20181012).pdf}Dental Implant CPG Booklet (Revised 181012)
https://www.moh.gov.sg/content/dam/moh_web/HPP/Dentists/cpg_dental/current/2012/dental_implants_edentulism/Dental%20Implant%20Summary%20Card%20(Revised%20181012).pdf	Dental Implant Summary Card (Revised 181012)
Depression summary card 4
https://www.moh.gov.sg/content/dam/moh_web/HPP/Doctors/cpg_medical/current/2014/diabetes_mellitus/DM%20CPG%202014%20addendum.pdf	DM CPG 2014 addendum
GC0082_MOH_Clinical Guidance_FINALSendPDF
https://www.moh.gov.sg/content/dam/moh_web/HPP/Doctors/cpg_medical/current/2014/diabetes_mellitus/cpg_Diabetes%20Mellitus%20Summary%20Card%20-%20Jul%202014.pdf	GuideLineRecord
https://www.moh.gov.sg/content/dam/moh_web/HPP/Doctors/cpg_medical/current/2013/Infertility/Infertility_Summarize2013(HiRes).pdf	Infertility_Summarize2013(HiRes)
https://www.moh.gov.sg/content/dam/moh_web/HPP/Pharmacists/cpg_pharmacy/management%20of%20chronic%20heart%20failure%20-%20booklet.pdf	management of chronic heart failure - booklet
https://www.moh.gov.sg/content/dam/moh_web/HPP/Doctors/cpg_medical/current/2011/Management%20of%20Gambling%20Disorder%20Booklet_JUN2011_approved(1).pdf	Management of Gambling Disorder Booklet_CARD_JUN2011_approved
https://www.moh.gov.sg/content/dam/moh_web/HPP/Pharmacists/cpg_pharmacy/management%20of%20poisoning%20-%20summary%20card.pdf	management of poisoning - summary card
https://www.moh.gov.sg/content/dam/moh_web/HPP/Doctors/cpg_medical/current/2011/MOHcpg_Bipolar%20Disorder_SummaryCard.pdf	MOHcpg_Bipolar Disorder_SummaryCard
https://www.moh.gov.sg/content/dam/moh_web/HPP/Doctors/cpg_medical/current/2016/tuberculosis/MOH%20TB%20CPG%20Executive%20summary%20for%20website.pdf	MOH TB CPG Executive summary for website
https://www.moh.gov.sg/content/dam/moh_web/HPP/Doctors/cpg_medical/current/2016/tuberculosis/MOH%20TB%20CPG%20Executive%20summary%20for%20website.pdf	MOH TB CPG Full version for website
https://www.moh.gov.sg/content/dam/moh_web/HPP/Doctors/cpg_medical/current/2016/obesity/Obesity%20CPG_Main.pdf	Obesity CPG_Main
https://www.moh.gov.sg/content/dam/moh_web/HPP/Doctors/cpg_medical/current/2016/obesity/Obesity%20CPG_Summary.pdf	Obesity CPG_Summary
https://www.moh.gov.sg/content/dam/moh_web/HPP/Doctors/cpg_medical/current/2011/Schizophrenia%20Pg1-8%20card.pdf	Schizophrenia Pg1-8 card
https://www.moh.gov.sg/content/dam/moh_web/HPP/Doctors/cpg_medical/current/2011/Schizophrenia%20Pg1-56.pdf	Schizophrenia Pg1-56
https://www.moh.gov.sg/content/dam/moh_web/HPP/Doctors/cpg_medical/current/2016/lipids/MOH%20Lipids%20CPG%20-%20Executive%20Summary.pdf	<Yettoinclude>
https://www.moh.gov.sg/content/dam/moh_web/HPP/Doctors/cpg_medical/current/2016/tuberculosis/MOH%20TB%20CPG%20Full%20version%20for%20website.pdf	<Yettoinclude>
https://www.moh.gov.sg/content/dam/moh_web/HPP/Doctors/cpg_medical/current/2016/tuberculosis/MOH%20TB%20CPG%20Executive%20summary%20for%20website.pdf	<Yettoinclude>
